Sr. No.,Name of Society,Address,State,District,Date of Registration,Area of Operation,Sector Type,
25,Jewan Kothi Multi State Agro Cooperative Society Ltd.,Uttar Pradesh,UTTAR PRADESH,BASTI,6/6/2022,"Haryana, UttarPradesh, Himachal, Punjab",Agro,
26,"Bharathimanass Agriculture
Cooperative Ltd. (BHARATHIMANAS)",Manipur,MANIPUR,BISHNUPUR,3/6/2022,"Bihar, West bengal, Odisha",Agro,
27,"Youth Employability Skill Training
Cooperative Educational Society Ltd.",PATHANAMTHITTA,KERALA,ERNAKULAM,2/6/2022,"Tamil Nadu, karnataks",Others,
28,Jai Ratnagarbha Agriculture Multi State Cooperative Society Ltd.,"Prayag Raj, uttar Pradesh",UTTAR PRADESH,BAREILLY,28/05/2022,"Haryana, Punajb",Agro,
29,"Shikharji Multi State Agro Processing and Marketing Cooperative Society
Ltd","Buldana, Maharashtra",MAHARASHTRA,BULDHANA,27/05/2022,"Manipur, Meghalaya",Agro,
30,News Agriculture Export & Marketing Cooperative society Ltd.,"Kalkaji, Delhi",NEW DELHI,NEW DELHI,21/05/2022,"Maharashtra, Gujarat, Rajasthan",Agro,
31,Krashnadi Multi State Vehicle Services Cooperative Society Ltd.,"Beed, maharashtra",MAHARASHTRA,BEED,12/5/2022,"Gujarat, Rajasthan",Others,
32,Lotus Multi Specialty Cooperative Hospital and Research Center Ltd.,"Osmanabad, Maharashtra",MAHARASHTRA,BEED,27/04/2022,"Maharashtra,Goa.Karnataka, Andhra Pradesh",Health/Hospital,
33,Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,"Osmanabad, Maharashtra",MAHARASHTRA,OSMANABAD,27/04/2022,"Andhra Pradesh, Telangna",Health/Hospital,
34,Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,"Kolhaour, Maharashtra",MAHARASHTRA,KOLHAPUR,27/04/2022,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Health/Hospital,
35,Vanashri Cooperative Power & Agro Progressive ltd,"Sangli , Maharashtra",MAHARASHTRA,SANGLI,26/04/2022,"Maharashtra, Gujarat, Rajasthan",Agro,
36,"Samrudh Marathwada Multi State
Vehicle Services Cooperative Society Ltd.","Beed, maharashtra",MAHARASHTRA,BEED,20/04/2022,"Gujarat, Rajasthan",Others,
37,"Bharathiyajkl Machuwara Samudaay Cooperative Ltd.
(BHARATHIJKLMASACO)","Baramulla, Kashmir",JAMMU AND KASHMIR,BADGAM,18/04/2022,"Haryana, Delhi",Fisheries,
38,Prestige Agro Multi State Cooperative Society Ltd,Uttar Pradesh,UTTAR PRADESH,BULANDSHAHR,1/4/2022,"Haryana, Delhi, UttarPradesh, ",Agro,
39,Vidhata Hamal Multi State Cooperative Society Ltd,"Bhandara, Maharashtra",MAHARASHTRA,BHANDARA,1/4/2022,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro,
40,"Dr Appasahed Urf Sa. Re. Patil
Jayysinghpur Udgaon Sahakari Bank Ltd","Kolhapur, maharashtra",MAHARASHTRA,KOLHAPUR,1/4/2022,"Maharashtra, Gujarat, Rajasthan",Cooperative Bank,
41,Krushisadhna Mahila Multi State Agro Cooperative society Ltd,Nashik maharashtra,MAHARASHTRA,NASIK,1/4/2022,"Haryana, Punjab, Rajasthan",Agro,
42,"Seva Sadan Multi Specialty
Cooperative Hospital and Research Center Ltd","Gate no. 14, Chaitnya Complex, behind Tahsil karyalaya, Shrigonda Dist - Ahmednagar Pin -413701 (Maharashtra)",MAHARASHTRA,AHMEDNAGAR,21/03/2022,"Haryana, Rajasthan",Agro,
43,Bulandshahr Agro MultiState cooperative Society Ltd,"Mohalla Mahadev, Galimpur Road, Dibai, Bulandshahr, Uttar Pradesh-202393",UTTAR PRADESH,BULANDSHAHR,21/03/2022,"Gujarat, Rajasthan, Haryana, Delhi",Agro,
44,B K Dhanlakshmi Multi State Agro Cooperative Society Limited,"Mayflower signature, Office 7B, 7th Floor, Avinashi Road, Peelumedu, Coimbatore- 641004, Tamil Nadu",TAMIL NADU,COIMBATORE,8/3/2022,"Kerala, karnataka, Maharashtra, Gujarat",Agro,
45,The Walmik Multi State Cooperative Handloom Weavers Cooperative Society Ltd,"Plot No 63, Aoodumbae, Gurudev nagar, Nandanavan, Hanuman Nagar, Nagpur 440009, Maharashtra",MAHARASHTRA,NAGPUR,21/02/2022,"Maharashtra, Karnataka, Tamil nadu",Industrial/Textile,e
46,Ente Naadu Multi State Agro Co- operative Society Ltd.,"ST George High School, Aluva- Munnar Road, Kothamangalam, Ernakulam,
686691, Kerala",KERALA,ERNAKULAM,3/2/2022,"Haryana, Gujarat, Maharashtra, Delhi",Agro,
47,Rajsidhi Cooperative Cotton & Agro Industries Ltd,"Ahmednagar 414401, Maharashtra",MAHARASHTRA,AHMEDNAGAR,12/1/2022,"Maharashtra, Gujarat, Rajasthan",Agro,
48,Natural Agro Farming Multi State Cooperative Society Ltd.,"D77, S/F, East of Kailash, New delhi 110065",NEW DELHI,NEW DELHI,12/1/2022,"Kerala, karnataka, Maharashtra, Gujarat",Agro,
49,Mansa Development Cooperative Society Ltd,"41 Sukh Sagar, phase 4 colony, near Mittal College, Rasal, Kharod Bhopal 38, Madhya Pradesh",MADHYA PRADESH,BHOPAL,12/10/2021,"Haryana, Delhi",Agro,
50,Om Agro Multi State Cooperative society Ltd,Ahulana (Gohana) Sonipat Haryana 131301,HARYANA,SONIPAT,22/11/2021,"Haryana, Delhi",Agro,
